nota_fiscal;estabelecimento;pn_fornecedor;descricao_fornecedor;data_fiscal;item;numero_processo;Contrato;status_do_contrato;vencimento;depto_de_compras;quantidade_unidade_estoque;preco_total_linha;cond.pagamento;departamento;família;gestão;curva
283;SRS;070076291;L ALLEGRO RESTAURANTE LTDA;18/02/2025;DCN210690901;OC0044990;CS0000964;Ativo;05/08/2026;SRSADM;4236;48078,6;30 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;A
284;SRS;070076291;L ALLEGRO RESTAURANTE LTDA;17/02/2025;DCN210690901;OC0044991;CS0000964;Ativo;05/08/2026;SRSADM;8;109,59;30 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;A
284;SRS;070076291;L ALLEGRO RESTAURANTE LTDA;17/02/2025;DCN210690901;OC0044991;CS0000964;Ativo;05/08/2026;SRSADM;7;65,49;30 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;A
986411;OUROS;070001769;METHODOS LABORATORIO, ANALISES CLIN;17/02/2025;DCSR00040301;OC0044969;CS0000652;Ativo;31/12/2026;SRSADM;241,23;241,23;30 DIAS;RECURSOS HUMANOS;SERVIÇOS PRESTADOS;ADMINISTRATIVO;A
37410321;VIES;070001496;NOTRE DAME INTERMEDICA SAUDE S.A.;17/02/2025;DCSR00042202;OC0045015;CS0000934;Concluído;31/03/2050;VIESAD;1194,56;1194,56;30 DIAS;;;ADMINISTRATIVO;A
2773;VIES;070001474;NASCIMENTO & ROCHA LOGISTICA E TRAN;17/02/2025;DCSR00260102;OC0045044;CS0000957;Ativo;31/03/2050;VIESAD;388,5;388,5;15 DIAS;SUPPLY;SERVIÇOS PRESTADOS;SUPPLY;C
8593;SRS;070091889;FRAGA MARKETING E SERVICOS LTDA;17/02/2025;DCSR00010200;OC0045047;CS0001087;Ativo;26/12/2025;DDAADM;1600;1600;30 DIAS;DIGITAL SALES;SERVIÇOS PRESTADOS;ADMINISTRATIVO;C
807314;SRS;070001565;ADP BRASIL LTDA;17/02/2025;DCSR00010303;OC0044971;CS0000799;Ativo;31/05/2028;SRSADM;31199,93;31199,93;30 DIAS;RECURSOS HUMANOS;SERVIÇOS PRESTADOS;ADMINISTRATIVO;B
2057;SRS;070090846;TENSAO ELETRICA MANU. E  INST. LTDA;17/02/2025;DCSR00140114;OC0044952;CS0001018;Ativo;30/12/2026;SRSFAB;1;2337,95;21 DIAS;MANUFATURA SRS;MANUTENÇÃO ELÉTRICA;INDUSTRIAL SRS;B
134485;SRS;070075717;COMPANHIA BRAS SOLUCOES E SERV;17/02/2025;DCSR00100206;OC0044915;CS0000908;Concluído;31/03/2050;SRSADM;142240,15;142240,15;30 DIAS;RECURSOS HUMANOS;BENEFICIO ;ADMINISTRATIVO;C
2282;SRS;070076175;ANDREA CARVALHO DESP.EIRELI-ME;17/02/2025;DCSR00330106;OC0044520;CS0000989;Ativo;31/07/2027;SRSFAB;1;600;30 DIAS;MANUFATURA SRS;SERVIÇOS PRESTADOS;INDUSTRIAL SRS;C
138742;OUROS;070075717;COMPANHIA BRAS SOLUCOES E SERV;17/02/2025;DCSR00100206;OC0044913;CS0000969;Concluído;31/03/2050;COADM;40227;40227;30 DIAS;;;ADMINISTRATIVO;C
20115;OUROS;070000629;EXCEL SERV. EM METROLOGIA LTDA;17/02/2025;DCSR00170901;OC0044485;CS0000719;Ativo;31/03/2050;COFAB;9950,68;9950,37;30 DIAS;QSMA;SERVIÇOS PRESTADOS;INDUSTRIAL CO;C
4542;OUROS;070077759;CONSIGAS DISTRIBUIDORA LTDA;17/02/2025;DCN271110002;OC0044854;CS0000877;Ativo;22/02/2026;COFAB;3;588,21;30 DIAS;MANUFATURA CO;MATERIAIS AUXILIARES E MATERIAIS INDIRETOS;INDUSTRIAL CO;C
14853;VIES;090005223;SODIPROM;17/02/2025;DCSR00270101;OC0044968;CS0000940;Ativo;31/08/2026;VIESAD;28758,23;28758,23;30 DIAS;RECURSOS HUMANOS;SERVIÇOS PRESTADOS JOVEM APRENDIZ;ADMINISTRATIVO;C
14854;VIESADM;090005223;SODIPROM;17/02/2025;DCSR00270101;OC0044967;CS0000968;Ativo;31/03/2050;DDAADM;2545,78;2545,78;30 DIAS;RECURSOS HUMANOS;SERVIÇOS PRESTADOS;ADMINISTRATIVO;C
